mesh_id,lon,lat,potential_v
0,138.22050000000002,36.650499999999994,0
91,138.2215,36.650499999999994,0
182,138.2225,36.650499999999994,0
273,138.2235,36.650499999999994,0
364,138.22450000000003,36.650499999999994,0
455,138.2255,36.650499999999994,0
546,138.22650000000004,36.650499999999994,0
637,138.22750000000002,36.650499999999994,0
728,138.22850000000005,36.650499999999994,0
819,138.22950000000006,36.650499999999994,0
910,138.23050000000003,36.650499999999994,0
1001,138.23150000000004,36.650499999999994,0
1092,138.23250000000007,36.650499999999994,0
1183,138.23350000000008,36.650499999999994,0
1274,138.23450000000005,36.650499999999994,0
1365,138.23550000000006,36.650499999999994,0
1456,138.23650000000012,36.650499999999994,1
1547,138.23750000000007,36.650499999999994,1
1638,138.2385000000001,36.650499999999994,1
1729,138.2395000000001,36.650499999999994,1
1820,138.2405000000001,36.650499999999994,1
1911,138.2415000000001,36.650499999999994,1
2002,138.24250000000012,36.650499999999994,1
2093,138.2435000000001,36.650499999999994,1
2184,138.24450000000013,36.650499999999994,1
2275,138.24550000000013,36.650499999999994,1
2366,138.24650000000014,36.650499999999994,1
2457,138.24750000000012,36.650499999999994,1
2548,138.24850000000018,36.650499999999994,1
2639,138.24950000000013,36.650499999999994,1
2730,138.25050000000013,36.650499999999994,1
2821,138.25150000000016,36.650499999999994,1
2912,138.25250000000017,36.650499999999994,1
3003,138.25350000000014,36.650499999999994,1
3094,138.25450000000018,36.650499999999994,1
3185,138.25550000000015,36.650499999999994,1
3276,138.2565000000002,36.650499999999994,1
3367,138.25750000000016,36.650499999999994,1
3458,138.2585000000002,36.650499999999994,1
3549,138.2595000000002,36.650499999999994,0
3640,138.2605000000002,36.650499999999994,0
3731,138.26150000000018,36.650499999999994,0
3822,138.2625000000002,36.650499999999994,0
3913,138.2635000000002,36.650499999999994,0
4004,138.26450000000023,36.650499999999994,0
4095,138.2655000000002,36.650499999999994,0
4186,138.2665000000002,36.650499999999994,0
4277,138.26750000000024,36.650499999999994,0
4368,138.26850000000024,36.650499999999994,0
4459,138.26950000000022,36.650499999999994,1
4550,138.27050000000025,36.650499999999994,1
4641,138.27150000000026,36.650499999999994,1
4732,138.27250000000026,36.650499999999994,1
4823,138.27350000000027,36.650499999999994,1
4914,138.27450000000024,36.650499999999994,1
5005,138.27550000000025,36.650499999999994,1
5096,138.27650000000025,36.650499999999994,1
5187,138.2775000000003,36.650499999999994,1
5278,138.27850000000026,36.650499999999994,1
5369,138.27950000000027,36.650499999999994,1
5460,138.2805000000003,36.650499999999994,1
5551,138.28150000000028,36.650499999999994,1
5642,138.28250000000028,36.650499999999994,1
5733,138.28350000000032,36.650499999999994,1
5824,138.28450000000032,36.650499999999994,1
5915,138.2855000000003,36.650499999999994,1
6006,138.2865000000003,36.650499999999994,1
6097,138.2875000000003,36.650499999999994,1
6188,138.2885000000003,36.650499999999994,1
6279,138.28950000000034,36.650499999999994,0
6370,138.29050000000032,36.650499999999994,0
6461,138.29150000000033,36.650499999999994,0
6552,138.29250000000033,36.650499999999994,0
6643,138.29350000000034,36.650499999999994,0
6734,138.29450000000034,36.650499999999994,0
6825,138.29550000000035,36.650499999999994,0
6916,138.29650000000038,36.650499999999994,0
7007,138.29750000000038,36.650499999999994,0
7098,138.29850000000036,36.650499999999994,0
7189,138.29950000000036,36.650499999999994,0
7280,138.3005000000004,36.650499999999994,0
1,138.22050000000002,36.6515,0
92,138.2215,36.6515,0
183,138.2225,36.6515,0
274,138.2235,36.6515,0
365,138.22450000000003,36.6515,0
456,138.2255,36.6515,0
547,138.22650000000004,36.6515,0
638,138.22750000000002,36.6515,0
729,138.22850000000005,36.6515,0
820,138.22950000000006,36.6515,0
911,138.23050000000003,36.6515,0
1002,138.23150000000004,36.6515,0
1093,138.23250000000007,36.6515,0
1184,138.23350000000008,36.6515,0
1275,138.23450000000005,36.6515,0
1366,138.23550000000006,36.6515,0
1457,138.23650000000012,36.6515,1
1548,138.23750000000007,36.6515,1
1639,138.2385000000001,36.6515,1
1730,138.2395000000001,36.6515,1
1821,138.2405000000001,36.6515,1
1912,138.2415000000001,36.6515,1
2003,138.24250000000012,36.6515,1
2094,138.2435000000001,36.6515,1
2185,138.24450000000013,36.6515,1
2276,138.24550000000013,36.6515,1
2367,138.24650000000014,36.6515,1
2458,138.24750000000012,36.6515,1
2549,138.24850000000018,36.6515,1
2640,138.24950000000013,36.6515,1
2731,138.25050000000013,36.6515,1
2822,138.25150000000016,36.6515,1
2913,138.25250000000017,36.6515,1
3004,138.25350000000014,36.6515,1
3095,138.25450000000018,36.6515,1
3186,138.25550000000015,36.6515,1
3277,138.2565000000002,36.6515,1
3368,138.25750000000016,36.6515,1
3459,138.2585000000002,36.6515,1
3550,138.2595000000002,36.6515,0
3641,138.2605000000002,36.6515,0
3732,138.26150000000018,36.6515,0
3823,138.2625000000002,36.6515,0
3914,138.2635000000002,36.6515,0
4005,138.26450000000023,36.6515,0
4096,138.2655000000002,36.6515,0
4187,138.2665000000002,36.6515,0
4278,138.26750000000024,36.6515,0
4369,138.26850000000024,36.6515,0
4460,138.26950000000022,36.6515,0
4551,138.27050000000025,36.6515,1
4642,138.27150000000026,36.6515,1
4733,138.27250000000026,36.6515,1
4824,138.27350000000027,36.6515,1
4915,138.27450000000024,36.6515,1
5006,138.27550000000025,36.6515,1
5097,138.27650000000025,36.6515,1
5188,138.2775000000003,36.6515,1
5279,138.27850000000026,36.6515,1
5370,138.27950000000027,36.6515,1
5461,138.2805000000003,36.6515,1
5552,138.28150000000028,36.6515,1
5643,138.28250000000028,36.6515,1
5734,138.28350000000032,36.6515,1
5825,138.28450000000032,36.6515,1
5916,138.2855000000003,36.6515,1
6007,138.2865000000003,36.6515,1
6098,138.2875000000003,36.6515,1
6189,138.2885000000003,36.6515,1
6280,138.28950000000034,36.6515,1
6371,138.29050000000032,36.6515,0
6462,138.29150000000033,36.6515,0
6553,138.29250000000033,36.6515,0
6644,138.29350000000034,36.6515,0
6735,138.29450000000034,36.6515,0
6826,138.29550000000035,36.6515,0
6917,138.29650000000038,36.6515,0
7008,138.29750000000038,36.6515,0
7099,138.29850000000036,36.6515,0
7190,138.29950000000036,36.6515,0
7281,138.3005000000004,36.6515,0
2,138.22050000000002,36.652499999999996,0
93,138.2215,36.652499999999996,0
184,138.2225,36.652499999999996,0
275,138.2235,36.652499999999996,0
366,138.22450000000003,36.652499999999996,0
457,138.2255,36.652499999999996,0
548,138.22650000000004,36.652499999999996,0
639,138.22750000000002,36.652499999999996,0
730,138.22850000000005,36.652499999999996,0
821,138.22950000000006,36.652499999999996,0
912,138.23050000000003,36.652499999999996,0
1003,138.23150000000004,36.652499999999996,0
1094,138.23250000000007,36.652499999999996,0
1185,138.23350000000008,36.652499999999996,0
1276,138.23450000000005,36.652499999999996,0
1367,138.23550000000006,36.652499999999996,0
1458,138.23650000000012,36.652499999999996,0
1549,138.23750000000007,36.652499999999996,0
1640,138.2385000000001,36.652499999999996,1
1731,138.2395000000001,36.652499999999996,1
1822,138.2405000000001,36.652499999999996,1
1913,138.2415000000001,36.652499999999996,1
2004,138.24250000000012,36.652499999999996,1
2095,138.2435000000001,36.652499999999996,1
2186,138.24450000000013,36.652499999999996,1
2277,138.24550000000013,36.652499999999996,1
2368,138.24650000000014,36.652499999999996,1
2459,138.24750000000012,36.652499999999996,1
2550,138.24850000000018,36.652499999999996,1
2641,138.24950000000013,36.652499999999996,1
2732,138.25050000000013,36.652499999999996,1
2823,138.25150000000016,36.652499999999996,1
2914,138.25250000000017,36.652499999999996,1
3005,138.25350000000014,36.652499999999996,1
3096,138.25450000000018,36.652499999999996,1
3187,138.25550000000015,36.652499999999996,1
3278,138.2565000000002,36.652499999999996,1
3369,138.25750000000016,36.652499999999996,1
3460,138.2585000000002,36.652499999999996,1
3551,138.2595000000002,36.652499999999996,1
3642,138.2605000000002,36.652499999999996,0
3733,138.26150000000018,36.652499999999996,0
3824,138.2625000000002,36.652499999999996,0
3915,138.2635000000002,36.652499999999996,0
4006,138.26450000000023,36.652499999999996,0
4097,138.2655000000002,36.652499999999996,0
4188,138.2665000000002,36.652499999999996,0
4279,138.26750000000024,36.652499999999996,0
4370,138.26850000000024,36.652499999999996,0
4461,138.26950000000022,36.652499999999996,0
4552,138.27050000000025,36.652499999999996,0
4643,138.27150000000026,36.652499999999996,1
4734,138.27250000000026,36.652499999999996,1
4825,138.27350000000027,36.652499999999996,1
4916,138.27450000000024,36.652499999999996,1
5007,138.27550000000025,36.652499999999996,1
5098,138.27650000000025,36.652499999999996,1
5189,138.2775000000003,36.652499999999996,1
5280,138.27850000000026,36.652499999999996,1
5371,138.27950000000027,36.652499999999996,1
5462,138.2805000000003,36.652499999999996,1
5553,138.28150000000028,36.652499999999996,1
5644,138.28250000000028,36.652499999999996,1
5735,138.28350000000032,36.652499999999996,1
5826,138.28450000000032,36.652499999999996,1
5917,138.2855000000003,36.652499999999996,1
6008,138.2865000000003,36.652499999999996,1
6099,138.2875000000003,36.652499999999996,1
6190,138.2885000000003,36.652499999999996,1
6281,138.28950000000034,36.652499999999996,1
6372,138.29050000000032,36.652499999999996,1
6463,138.29150000000033,36.652499999999996,0
6554,138.29250000000033,36.652499999999996,0
6645,138.29350000000034,36.652499999999996,0
6736,138.29450000000034,36.652499999999996,0
6827,138.29550000000035,36.652499999999996,0
6918,138.29650000000038,36.652499999999996,0
7009,138.29750000000038,36.652499999999996,0
7100,138.29850000000036,36.652499999999996,0
7191,138.29950000000036,36.652499999999996,0
7282,138.3005000000004,36.652499999999996,0
3,138.22050000000002,36.653499999999994,0
94,138.2215,36.653499999999994,0
185,138.2225,36.653499999999994,0
276,138.2235,36.653499999999994,0
367,138.22450000000003,36.653499999999994,0
458,138.2255,36.653499999999994,0
549,138.22650000000004,36.653499999999994,0
640,138.22750000000002,36.653499999999994,0
731,138.22850000000005,36.653499999999994,0
822,138.22950000000006,36.653499999999994,1
913,138.23050000000003,36.653499999999994,1
1004,138.23150000000004,36.653499999999994,1
1095,138.23250000000007,36.653499999999994,0
1186,138.23350000000008,36.653499999999994,0
1277,138.23450000000005,36.653499999999994,0
1368,138.23550000000006,36.653499999999994,0
1459,138.23650000000012,36.653499999999994,0
1550,138.23750000000007,36.653499999999994,0
1641,138.2385000000001,36.653499999999994,0
1732,138.2395000000001,36.653499999999994,1
1823,138.2405000000001,36.653499999999994,1
1914,138.2415000000001,36.653499999999994,1
2005,138.24250000000012,36.653499999999994,1
2096,138.2435000000001,36.653499999999994,1
2187,138.24450000000013,36.653499999999994,1
2278,138.24550000000013,36.653499999999994,1
2369,138.24650000000014,36.653499999999994,1
2460,138.24750000000012,36.653499999999994,1
2551,138.24850000000018,36.653499999999994,1
2642,138.24950000000013,36.653499999999994,1
2733,138.25050000000013,36.653499999999994,1
2824,138.25150000000016,36.653499999999994,1
2915,138.25250000000017,36.653499999999994,1
3006,138.25350000000014,36.653499999999994,1
3097,138.25450000000018,36.653499999999994,1
3188,138.25550000000015,36.653499999999994,1
3279,138.2565000000002,36.653499999999994,1
3370,138.25750000000016,36.653499999999994,1
3461,138.2585000000002,36.653499999999994,1
3552,138.2595000000002,36.653499999999994,1
3643,138.2605000000002,36.653499999999994,0
3734,138.26150000000018,36.653499999999994,0
3825,138.2625000000002,36.653499999999994,0
3916,138.2635000000002,36.653499999999994,0
4007,138.26450000000023,36.653499999999994,0
4098,138.2655000000002,36.653499999999994,0
4189,138.2665000000002,36.653499999999994,0
4280,138.26750000000024,36.653499999999994,0
4371,138.26850000000024,36.653499999999994,0
4462,138.26950000000022,36.653499999999994,0
4553,138.27050000000025,36.653499999999994,0
4644,138.27150000000026,36.653499999999994,1
4735,138.27250000000026,36.653499999999994,1
4826,138.27350000000027,36.653499999999994,1
4917,138.27450000000024,36.653499999999994,1
5008,138.27550000000025,36.653499999999994,1
5099,138.27650000000025,36.653499999999994,1
5190,138.2775000000003,36.653499999999994,1
5281,138.27850000000026,36.653499999999994,1
5372,138.27950000000027,36.653499999999994,1
5463,138.2805000000003,36.653499999999994,1
5554,138.28150000000028,36.653499999999994,1
5645,138.28250000000028,36.653499999999994,1
5736,138.28350000000032,36.653499999999994,1
5827,138.28450000000032,36.653499999999994,1
5918,138.2855000000003,36.653499999999994,1
6009,138.2865000000003,36.653499999999994,1
6100,138.2875000000003,36.653499999999994,1
6191,138.2885000000003,36.653499999999994,1
6282,138.28950000000034,36.653499999999994,1
6373,138.29050000000032,36.653499999999994,1
6464,138.29150000000033,36.653499999999994,0
6555,138.29250000000033,36.653499999999994,0
6646,138.29350000000034,36.653499999999994,0
6737,138.29450000000034,36.653499999999994,0
6828,138.29550000000035,36.653499999999994,0
6919,138.29650000000038,36.653499999999994,0
7010,138.29750000000038,36.653499999999994,0
7101,138.29850000000036,36.653499999999994,0
7192,138.29950000000036,36.653499999999994,0
7283,138.3005000000004,36.653499999999994,0
4,138.22050000000002,36.654499999999985,0
95,138.2215,36.654499999999985,0
186,138.2225,36.654499999999985,0
277,138.2235,36.654499999999985,0
368,138.22450000000003,36.654499999999985,0
459,138.2255,36.654499999999985,0
550,138.22650000000004,36.654499999999985,0
641,138.22750000000002,36.654499999999985,1
732,138.22850000000005,36.654499999999985,1
823,138.22950000000006,36.654499999999985,1
914,138.23050000000003,36.654499999999985,1
1005,138.23150000000004,36.654499999999985,1
1096,138.23250000000007,36.654499999999985,1
1187,138.23350000000008,36.654499999999985,1
1278,138.23450000000005,36.654499999999985,1
1369,138.23550000000006,36.654499999999985,1
1460,138.23650000000012,36.654499999999985,0
1551,138.23750000000007,36.654499999999985,0
1642,138.2385000000001,36.654499999999985,0
1733,138.2395000000001,36.654499999999985,0
1824,138.2405000000001,36.654499999999985,1
1915,138.2415000000001,36.654499999999985,1
2006,138.24250000000012,36.654499999999985,1
2097,138.2435000000001,36.654499999999985,1
2188,138.24450000000013,36.654499999999985,1
2279,138.24550000000013,36.654499999999985,1
2370,138.24650000000014,36.654499999999985,1
2461,138.24750000000012,36.654499999999985,1
2552,138.24850000000018,36.654499999999985,1
2643,138.24950000000013,36.654499999999985,1
2734,138.25050000000013,36.654499999999985,1
2825,138.25150000000016,36.654499999999985,1
2916,138.25250000000017,36.654499999999985,1
3007,138.25350000000014,36.654499999999985,1
3098,138.25450000000018,36.654499999999985,1
3189,138.25550000000015,36.654499999999985,1
3280,138.2565000000002,36.654499999999985,1
3371,138.25750000000016,36.654499999999985,1
3462,138.2585000000002,36.654499999999985,1
3553,138.2595000000002,36.654499999999985,1
3644,138.2605000000002,36.654499999999985,1
3735,138.26150000000018,36.654499999999985,0
3826,138.2625000000002,36.654499999999985,0
3917,138.2635000000002,36.654499999999985,0
4008,138.26450000000023,36.654499999999985,0
4099,138.2655000000002,36.654499999999985,0
4190,138.2665000000002,36.654499999999985,0
4281,138.26750000000024,36.654499999999985,0
4372,138.26850000000024,36.654499999999985,0
4463,138.26950000000022,36.654499999999985,0
4554,138.27050000000025,36.654499999999985,0
4645,138.27150000000026,36.654499999999985,0
4736,138.27250000000026,36.654499999999985,1
4827,138.27350000000027,36.654499999999985,1
4918,138.27450000000024,36.654499999999985,1
5009,138.27550000000025,36.654499999999985,1
5100,138.27650000000025,36.654499999999985,1
5191,138.2775000000003,36.654499999999985,1
5282,138.27850000000026,36.654499999999985,1
5373,138.27950000000027,36.654499999999985,1
5464,138.2805000000003,36.654499999999985,1
5555,138.28150000000028,36.654499999999985,1
5646,138.28250000000028,36.654499999999985,1
5737,138.28350000000032,36.654499999999985,1
5828,138.28450000000032,36.654499999999985,1
5919,138.2855000000003,36.654499999999985,1
6010,138.2865000000003,36.654499999999985,1
6101,138.2875000000003,36.654499999999985,1
6192,138.2885000000003,36.654499999999985,1
6283,138.28950000000034,36.654499999999985,1
6374,138.29050000000032,36.654499999999985,1
6465,138.29150000000033,36.654499999999985,1
6556,138.29250000000033,36.654499999999985,1
6647,138.29350000000034,36.654499999999985,0
6738,138.29450000000034,36.654499999999985,0
6829,138.29550000000035,36.654499999999985,0
6920,138.29650000000038,36.654499999999985,0
7011,138.29750000000038,36.654499999999985,0
7102,138.29850000000036,36.654499999999985,0
7193,138.29950000000036,36.654499999999985,0
7284,138.3005000000004,36.654499999999985,0
5,138.22050000000002,36.65549999999999,0
96,138.2215,36.65549999999999,0
187,138.2225,36.65549999999999,0
278,138.2235,36.65549999999999,0
369,138.22450000000003,36.65549999999999,0
460,138.2255,36.65549999999999,0
551,138.22650000000004,36.65549999999999,1
642,138.22750000000002,36.65549999999999,1
733,138.22850000000005,36.65549999999999,1
824,138.22950000000006,36.65549999999999,1
915,138.23050000000003,36.65549999999999,1
1006,138.23150000000004,36.65549999999999,1
1097,138.23250000000007,36.65549999999999,1
1188,138.23350000000008,36.65549999999999,1
1279,138.23450000000005,36.65549999999999,1
1370,138.23550000000006,36.65549999999999,1
1461,138.23650000000012,36.65549999999999,1
