mesh_id,lon,lat,potential_v,is_obstacle
0,138.22050000000002,36.650499999999994,0,False
91,138.2215,36.650499999999994,0,False
182,138.2225,36.650499999999994,0,False
273,138.2235,36.650499999999994,0,False
364,138.22450000000003,36.650499999999994,0,False
455,138.2255,36.650499999999994,0,False
546,138.22650000000004,36.650499999999994,0,False
637,138.22750000000002,36.650499999999994,0,False
728,138.22850000000005,36.650499999999994,0,False
819,138.22950000000006,36.650499999999994,0,False
910,138.23050000000003,36.650499999999994,0,False
1001,138.23150000000004,36.650499999999994,0,False
1092,138.23250000000007,36.650499999999994,0,False
1183,138.23350000000008,36.650499999999994,0,False
1274,138.23450000000005,36.650499999999994,0,False
1365,138.23550000000006,36.650499999999994,0,False
1456,138.23650000000012,36.650499999999994,1,False
1547,138.23750000000007,36.650499999999994,1,False
1638,138.2385000000001,36.650499999999994,1,False
1729,138.2395000000001,36.650499999999994,1,False
1820,138.2405000000001,36.650499999999994,1,False
1911,138.2415000000001,36.650499999999994,1,False
2002,138.24250000000012,36.650499999999994,1,False
2093,138.2435000000001,36.650499999999994,1,False
2184,138.24450000000013,36.650499999999994,1,False
2275,138.24550000000013,36.650499999999994,1,False
2366,138.24650000000014,36.650499999999994,1,False
2457,138.24750000000012,36.650499999999994,1,False
2548,138.24850000000018,36.650499999999994,1,False
2639,138.24950000000013,36.650499999999994,1,False
2730,138.25050000000013,36.650499999999994,1,False
2821,138.25150000000016,36.650499999999994,1,False
2912,138.25250000000017,36.650499999999994,1,False
3003,138.25350000000014,36.650499999999994,1,False
3094,138.25450000000018,36.650499999999994,1,False
3185,138.25550000000015,36.650499999999994,1,False
3276,138.2565000000002,36.650499999999994,1,False
3367,138.25750000000016,36.650499999999994,1,False
3458,138.2585000000002,36.650499999999994,1,False
3549,138.2595000000002,36.650499999999994,0,False
3640,138.2605000000002,36.650499999999994,0,True
3731,138.26150000000018,36.650499999999994,0,True
3822,138.2625000000002,36.650499999999994,0,True
3913,138.2635000000002,36.650499999999994,0,True
4004,138.26450000000023,36.650499999999994,0,True
4095,138.2655000000002,36.650499999999994,0,False
4186,138.2665000000002,36.650499999999994,0,False
4277,138.26750000000024,36.650499999999994,0,False
4368,138.26850000000024,36.650499999999994,0,False
4459,138.26950000000022,36.650499999999994,1,False
4550,138.27050000000025,36.650499999999994,1,False
4641,138.27150000000026,36.650499999999994,1,False
4732,138.27250000000026,36.650499999999994,1,False
4823,138.27350000000027,36.650499999999994,1,False
4914,138.27450000000024,36.650499999999994,1,False
5005,138.27550000000025,36.650499999999994,1,False
5096,138.27650000000025,36.650499999999994,1,False
5187,138.2775000000003,36.650499999999994,1,False
5278,138.27850000000026,36.650499999999994,1,False
5369,138.27950000000027,36.650499999999994,1,False
5460,138.2805000000003,36.650499999999994,1,False
5551,138.28150000000028,36.650499999999994,1,False
5642,138.28250000000028,36.650499999999994,1,False
5733,138.28350000000032,36.650499999999994,1,False
5824,138.28450000000032,36.650499999999994,1,False
5915,138.2855000000003,36.650499999999994,1,False
6006,138.2865000000003,36.650499999999994,1,False
6097,138.2875000000003,36.650499999999994,1,False
6188,138.2885000000003,36.650499999999994,1,False
6279,138.28950000000034,36.650499999999994,0,False
6370,138.29050000000032,36.650499999999994,0,False
6461,138.29150000000033,36.650499999999994,0,False
6552,138.29250000000033,36.650499999999994,0,False
6643,138.29350000000034,36.650499999999994,0,False
6734,138.29450000000034,36.650499999999994,0,False
6825,138.29550000000035,36.650499999999994,0,False
6916,138.29650000000038,36.650499999999994,0,False
7007,138.29750000000038,36.650499999999994,0,False
7098,138.29850000000036,36.650499999999994,0,False
7189,138.29950000000036,36.650499999999994,0,False
7280,138.3005000000004,36.650499999999994,0,False
1,138.22050000000002,36.6515,0,False
92,138.2215,36.6515,0,False
183,138.2225,36.6515,0,False
274,138.2235,36.6515,0,False
365,138.22450000000003,36.6515,0,False
456,138.2255,36.6515,0,False
547,138.22650000000004,36.6515,0,False
638,138.22750000000002,36.6515,0,False
729,138.22850000000005,36.6515,0,False
820,138.22950000000006,36.6515,0,False
911,138.23050000000003,36.6515,0,False
1002,138.23150000000004,36.6515,0,False
1093,138.23250000000007,36.6515,0,False
1184,138.23350000000008,36.6515,0,False
1275,138.23450000000005,36.6515,0,False
1366,138.23550000000006,36.6515,0,False
1457,138.23650000000012,36.6515,1,False
1548,138.23750000000007,36.6515,1,False
1639,138.2385000000001,36.6515,1,False
1730,138.2395000000001,36.6515,1,False
1821,138.2405000000001,36.6515,1,False
1912,138.2415000000001,36.6515,1,False
2003,138.24250000000012,36.6515,1,False
2094,138.2435000000001,36.6515,1,False
2185,138.24450000000013,36.6515,1,False
2276,138.24550000000013,36.6515,1,False
2367,138.24650000000014,36.6515,1,False
2458,138.24750000000012,36.6515,1,False
2549,138.24850000000018,36.6515,1,False
2640,138.24950000000013,36.6515,1,True
2731,138.25050000000013,36.6515,1,False
2822,138.25150000000016,36.6515,1,False
2913,138.25250000000017,36.6515,1,False
3004,138.25350000000014,36.6515,1,False
3095,138.25450000000018,36.6515,1,False
3186,138.25550000000015,36.6515,1,False
3277,138.2565000000002,36.6515,1,False
3368,138.25750000000016,36.6515,1,False
3459,138.2585000000002,36.6515,1,False
3550,138.2595000000002,36.6515,0,True
3641,138.2605000000002,36.6515,0,True
3732,138.26150000000018,36.6515,0,True
3823,138.2625000000002,36.6515,0,True
3914,138.2635000000002,36.6515,0,True
4005,138.26450000000023,36.6515,0,True
4096,138.2655000000002,36.6515,0,True
4187,138.2665000000002,36.6515,0,False
4278,138.26750000000024,36.6515,0,False
4369,138.26850000000024,36.6515,0,False
4460,138.26950000000022,36.6515,0,False
4551,138.27050000000025,36.6515,1,False
4642,138.27150000000026,36.6515,1,False
4733,138.27250000000026,36.6515,1,False
4824,138.27350000000027,36.6515,1,False
4915,138.27450000000024,36.6515,1,False
5006,138.27550000000025,36.6515,1,False
5097,138.27650000000025,36.6515,1,False
5188,138.2775000000003,36.6515,1,False
5279,138.27850000000026,36.6515,1,False
5370,138.27950000000027,36.6515,1,False
5461,138.2805000000003,36.6515,1,False
5552,138.28150000000028,36.6515,1,False
5643,138.28250000000028,36.6515,1,False
5734,138.28350000000032,36.6515,1,False
5825,138.28450000000032,36.6515,1,False
5916,138.2855000000003,36.6515,1,False
6007,138.2865000000003,36.6515,1,False
6098,138.2875000000003,36.6515,1,False
6189,138.2885000000003,36.6515,1,False
6280,138.28950000000034,36.6515,1,False
6371,138.29050000000032,36.6515,0,False
6462,138.29150000000033,36.6515,0,False
6553,138.29250000000033,36.6515,0,False
6644,138.29350000000034,36.6515,0,False
6735,138.29450000000034,36.6515,0,False
6826,138.29550000000035,36.6515,0,False
6917,138.29650000000038,36.6515,0,False
7008,138.29750000000038,36.6515,0,False
7099,138.29850000000036,36.6515,0,False
7190,138.29950000000036,36.6515,0,False
7281,138.3005000000004,36.6515,0,False
2,138.22050000000002,36.652499999999996,0,False
93,138.2215,36.652499999999996,0,False
184,138.2225,36.652499999999996,0,False
275,138.2235,36.652499999999996,0,False
366,138.22450000000003,36.652499999999996,0,False
457,138.2255,36.652499999999996,0,False
548,138.22650000000004,36.652499999999996,0,False
639,138.22750000000002,36.652499999999996,0,False
730,138.22850000000005,36.652499999999996,0,False
821,138.22950000000006,36.652499999999996,0,False
912,138.23050000000003,36.652499999999996,0,False
1003,138.23150000000004,36.652499999999996,0,False
1094,138.23250000000007,36.652499999999996,0,False
1185,138.23350000000008,36.652499999999996,0,False
1276,138.23450000000005,36.652499999999996,0,False
1367,138.23550000000006,36.652499999999996,0,False
1458,138.23650000000012,36.652499999999996,0,False
1549,138.23750000000007,36.652499999999996,0,False
1640,138.2385000000001,36.652499999999996,1,False
1731,138.2395000000001,36.652499999999996,1,False
1822,138.2405000000001,36.652499999999996,1,False
1913,138.2415000000001,36.652499999999996,1,False
2004,138.24250000000012,36.652499999999996,1,False
2095,138.2435000000001,36.652499999999996,1,False
2186,138.24450000000013,36.652499999999996,1,False
2277,138.24550000000013,36.652499999999996,1,False
2368,138.24650000000014,36.652499999999996,1,False
2459,138.24750000000012,36.652499999999996,1,False
2550,138.24850000000018,36.652499999999996,1,False
2641,138.24950000000013,36.652499999999996,1,False
2732,138.25050000000013,36.652499999999996,1,False
2823,138.25150000000016,36.652499999999996,1,False
2914,138.25250000000017,36.652499999999996,1,True
3005,138.25350000000014,36.652499999999996,1,False
3096,138.25450000000018,36.652499999999996,1,False
3187,138.25550000000015,36.652499999999996,1,False
3278,138.2565000000002,36.652499999999996,1,False
3369,138.25750000000016,36.652499999999996,1,False
3460,138.2585000000002,36.652499999999996,1,False
3551,138.2595000000002,36.652499999999996,1,False
3642,138.2605000000002,36.652499999999996,0,True
3733,138.26150000000018,36.652499999999996,0,True
3824,138.2625000000002,36.652499999999996,0,True
3915,138.2635000000002,36.652499999999996,0,True
4006,138.26450000000023,36.652499999999996,0,True
4097,138.2655000000002,36.652499999999996,0,True
4188,138.2665000000002,36.652499999999996,0,False
4279,138.26750000000024,36.652499999999996,0,False
4370,138.26850000000024,36.652499999999996,0,False
4461,138.26950000000022,36.652499999999996,0,False
4552,138.27050000000025,36.652499999999996,0,False
4643,138.27150000000026,36.652499999999996,1,False
4734,138.27250000000026,36.652499999999996,1,False
4825,138.27350000000027,36.652499999999996,1,False
4916,138.27450000000024,36.652499999999996,1,False
5007,138.27550000000025,36.652499999999996,1,False
5098,138.27650000000025,36.652499999999996,1,False
5189,138.2775000000003,36.652499999999996,1,False
5280,138.27850000000026,36.652499999999996,1,False
5371,138.27950000000027,36.652499999999996,1,False
5462,138.2805000000003,36.652499999999996,1,False
5553,138.28150000000028,36.652499999999996,1,False
5644,138.28250000000028,36.652499999999996,1,False
5735,138.28350000000032,36.652499999999996,1,False
5826,138.28450000000032,36.652499999999996,1,False
5917,138.2855000000003,36.652499999999996,1,False
6008,138.2865000000003,36.652499999999996,1,False
6099,138.2875000000003,36.652499999999996,1,False
6190,138.2885000000003,36.652499999999996,1,False
6281,138.28950000000034,36.652499999999996,1,False
6372,138.29050000000032,36.652499999999996,1,False
6463,138.29150000000033,36.652499999999996,0,False
